figure,panel,visual_claim,plotted_value,source_file,source_field,transformation,ci_method,script_function,output_file
Fig 3,A,Chance baseline (25%) accuracy,25.00%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,A,Frontier mean (11 models) accuracy,31.05% (CI 26.3-36.0),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,A,Best frontier (Gemini 3.1 Pro) accuracy,38.76% (CI 31.2-46.5),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,A,"Junior majority (N=103, excl. ties) accuracy",40.78% (CI 31.1-50.5),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,A,"Expert majority (N=89, excl. ties) accuracy",41.57% (CI 31.5-51.7),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,A,Best SFT model (Qwen3-4B) accuracy,59.17% (CI 50.0-67.5),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,A,SFT 2-model ensemble (nano + Qwen3-30B-A3B) accuracy,60.83% (CI 51.7-69.2),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator],multiplied by 100; CI canonical bootstrap,95% bootstrap (S05 canonical),"panel_a_data, draw_panel_a","fig3.pdf, fig3.png"
Fig 3,B,Gemini 3.1 Pro (best frontier) prediction distribution (N=120),"pct={""exceptional"": 18.3, ""strong"": 32.5, ""fair"": 45.8, ""limited"": 3.3}; raw_counts={""fair"": 55, ""strong"": 39, ""exceptional"": 22, ""limited"": 4}",data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,"val_outcome.rq_with_context[""google/gemini-3.1-pro-preview""]",argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,Kimi K2.5 (open-weight) prediction distribution (N=120),"pct={""exceptional"": 1.7, ""strong"": 56.7, ""fair"": 40.8, ""limited"": 0.8}; raw_counts={""fair"": 49, ""strong"": 68, ""exceptional"": 2, ""limited"": 1}",data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,"val_outcome.rq_with_context[""moonshotai/kimi-k2.5""]",argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,MiniMax M2.5 (open-weight) prediction distribution (N=120),"pct={""exceptional"": 0.0, ""strong"": 83.3, ""fair"": 16.7, ""limited"": 0.0}; raw_counts={""strong"": 100, ""fair"": 20}",data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,"val_outcome.rq_with_context[""minimax/minimax-m2.5""]",argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,Claude Opus 4.6 (closed-weight) prediction distribution (N=120),"pct={""exceptional"": 0.0, ""strong"": 86.7, ""fair"": 13.3, ""limited"": 0.0}; raw_counts={""fair"": 16, ""strong"": 104}",data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,"val_outcome.rq_with_context[""anthropic/claude-opus-4.6""]",argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,GLM-5 (open-weight) prediction distribution (N=120),"pct={""exceptional"": 20.0, ""strong"": 31.7, ""fair"": 47.5, ""limited"": 0.8}; raw_counts={""fair"": 57, ""strong"": 38, ""exceptional"": 24, ""limited"": 1}",data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,"val_outcome.rq_with_context[""z-ai/glm-5""]",argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,GPT-5.5 High all-field comparison prediction distribution (N=120),"pct={""exceptional"": 0.0, ""strong"": 36.7, ""fair"": 63.3, ""limited"": 0.0}; raw_counts={""fair"": 76, ""strong"": 44}",data/cross_field_standardized/predictions/gpt55_high_reasoning_item_summary.jsonl,"field == ""management""; prediction_majority with deterministic tie-break",argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,SFT Qwen3-4B (balanced) prediction distribution (N=120),"pct={""exceptional"": 32.5, ""strong"": 25.0, ""fair"": 29.2, ""limited"": 13.3}; raw_counts={""strong"": 30, ""limited"": 16, ""fair"": 35, ""exceptional"": 39}",data/management_deep_probe/predictions/sft_predictions.jsonl,val_outcome.rq_with_context.<qwen3-4b key>.logp,argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
Fig 3,B,Ground truth (target) prediction distribution (N=120),"pct={""exceptional"": 25.0, ""strong"": 25.0, ""fair"": 25.0, ""limited"": 25.0}; raw_counts={""exceptional"": 30, ""strong"": 30, ""fair"": 30, ""limited"": 30}",figure design constant (balanced design: 30/30/30/30),design constant,argmax over logp/predict; bar width = count / N * 100,n/a,compute_frontier_dist / compute_sft_pred_dist / draw_panel_b,"fig3.pdf, fig3.png"
