figure,panel,claim,field,metric,value,n_models,source_file,source_path
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",Psych,mean_conf_correct (3 SFT),0.891,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",Psych,mean_conf_incorrect (3 SFT),0.654,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",Psych,conf_gap (3 SFT),0.2371,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),Psych,mean_conf_correct (qwen30b_sft),0.9287,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__psychology_multidisciplinary].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Psych,mean_conf_incorrect (qwen30b_sft),0.6981,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__psychology_multidisciplinary].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Psych,mean_conf_correct (qwen4b_sft),0.8763,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__psychology_multidisciplinary].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Psych,mean_conf_incorrect (qwen4b_sft),0.6234,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__psychology_multidisciplinary].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Psych,mean_conf_correct (gpt41nano_sft),0.8681,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__psychology_multidisciplinary].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Psych,mean_conf_incorrect (gpt41nano_sft),0.6404,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__psychology_multidisciplinary].mean_conf_incorrect
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",Sociol,mean_conf_correct (3 SFT),0.7514,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",Sociol,mean_conf_incorrect (3 SFT),0.575,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",Sociol,conf_gap (3 SFT),0.1765,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),Sociol,mean_conf_correct (qwen30b_sft),0.7815,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__sociology].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Sociol,mean_conf_incorrect (qwen30b_sft),0.6204,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__sociology].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Sociol,mean_conf_correct (qwen4b_sft),0.7694,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__sociology].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Sociol,mean_conf_incorrect (qwen4b_sft),0.6048,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__sociology].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Sociol,mean_conf_correct (gpt41nano_sft),0.7034,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__sociology].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Sociol,mean_conf_incorrect (gpt41nano_sft),0.4997,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__sociology].mean_conf_incorrect
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",Econ,mean_conf_correct (3 SFT),0.827,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",Econ,mean_conf_incorrect (3 SFT),0.6628,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",Econ,conf_gap (3 SFT),0.1643,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),Econ,mean_conf_correct (qwen30b_sft),0.9002,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__economics].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Econ,mean_conf_incorrect (qwen30b_sft),0.7656,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__economics].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Econ,mean_conf_correct (qwen4b_sft),0.7772,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__economics].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Econ,mean_conf_incorrect (qwen4b_sft),0.5941,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__economics].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Econ,mean_conf_correct (gpt41nano_sft),0.8038,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__economics].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Econ,mean_conf_incorrect (gpt41nano_sft),0.6286,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__economics].mean_conf_incorrect
