evaluator,group,label,precision,recall,f1,support
Flagship: GLM-5,flagship,exceptional,0.36363636363636365,0.2962962962962963,0.32653061224489793,27.0
Flagship: GLM-5,flagship,strong,0.42424242424242425,0.5,0.4590163934426229,28.0
Flagship: GLM-5,flagship,fair,0.26785714285714285,0.5555555555555556,0.3614457831325301,27.0
Flagship: GLM-5,flagship,limited,1.0,0.03333333333333333,0.06451612903225806,30.0
Flagship: Kimi K2.5,flagship,exceptional,0.5,0.03571428571428571,0.06666666666666667,28.0
Flagship: Kimi K2.5,flagship,strong,0.31746031746031744,0.8,0.45454545454545453,25.0
Flagship: Kimi K2.5,flagship,fair,0.3023255813953488,0.4642857142857143,0.36619718309859156,28.0
Flagship: Kimi K2.5,flagship,limited,1.0,0.03571428571428571,0.0689655172413793,28.0
Flagship: Gemini 2.5 Pro,flagship,exceptional,0.40384615384615385,0.7241379310344828,0.5185185185185185,29.0
Flagship: Gemini 2.5 Pro,flagship,strong,0.21052631578947367,0.2962962962962963,0.24615384615384617,27.0
Flagship: Gemini 2.5 Pro,flagship,fair,0.19047619047619047,0.15384615384615385,0.1702127659574468,26.0
Flagship: Gemini 2.5 Pro,flagship,limited,1.0,0.03333333333333333,0.06451612903225806,30.0
Flagship: Gemini 3.1 Pro,flagship,exceptional,0.4782608695652174,0.3793103448275862,0.4230769230769231,29.0
Flagship: Gemini 3.1 Pro,flagship,strong,0.43333333333333335,0.4482758620689655,0.44067796610169496,29.0
Flagship: Gemini 3.1 Pro,flagship,fair,0.30357142857142855,0.6071428571428571,0.40476190476190477,28.0
Flagship: Gemini 3.1 Pro,flagship,limited,0.6666666666666666,0.13793103448275862,0.2285714285714286,29.0
Flagship: Claude Opus 4.6,flagship,exceptional,0.0,0.0,0.0,30.0
Flagship: Claude Opus 4.6,flagship,strong,0.28846153846153844,1.0,0.44776119402985076,30.0
Flagship: Claude Opus 4.6,flagship,fair,0.1875,0.1,0.13043478260869568,30.0
Flagship: Claude Opus 4.6,flagship,limited,0.0,0.0,0.0,30.0
Flagship: GPT-5.2 High,flagship,exceptional,0.0,0.0,0.0,30.0
Flagship: GPT-5.2 High,flagship,strong,0.3582089552238806,0.8,0.4948453608247423,30.0
Flagship: GPT-5.2 High,flagship,fair,0.26,0.4642857142857143,0.3333333333333333,28.0
Flagship: GPT-5.2 High,flagship,limited,0.0,0.0,0.0,29.0
Flagship: Grok 4.1 Fast,flagship,exceptional,0.53125,0.5862068965517241,0.5573770491803278,29.0
Flagship: Grok 4.1 Fast,flagship,strong,0.28125,0.6428571428571429,0.391304347826087,28.0
Flagship: Grok 4.1 Fast,flagship,fair,0.23529411764705882,0.13793103448275862,0.17391304347826086,29.0
Flagship: Grok 4.1 Fast,flagship,limited,0.0,0.0,0.0,27.0
Flagship: MiniMax M2.5,flagship,exceptional,0.0,0.0,0.0,29.0
Flagship: MiniMax M2.5,flagship,strong,0.2916666666666667,0.9655172413793104,0.44800000000000006,29.0
Flagship: MiniMax M2.5,flagship,fair,0.29411764705882354,0.19230769230769232,0.23255813953488372,26.0
Flagship: MiniMax M2.5,flagship,limited,0.0,0.0,0.0,29.0
Flagship: DeepSeek V3.2,flagship,exceptional,0.25,0.034482758620689655,0.0606060606060606,29.0
Flagship: DeepSeek V3.2,flagship,strong,0.27,0.9310344827586207,0.4186046511627907,29.0
Flagship: DeepSeek V3.2,flagship,fair,0.25,0.07407407407407407,0.11428571428571428,27.0
Flagship: DeepSeek V3.2,flagship,limited,0.0,0.0,0.0,27.0
Flagship: Qwen 3.5 Plus,flagship,exceptional,0.42857142857142855,0.10714285714285714,0.17142857142857143,28.0
Flagship: Qwen 3.5 Plus,flagship,strong,0.36666666666666664,0.36666666666666664,0.36666666666666664,30.0
Flagship: Qwen 3.5 Plus,flagship,fair,0.273972602739726,0.6896551724137931,0.39215686274509803,29.0
Flagship: Qwen 3.5 Plus,flagship,limited,0.3333333333333333,0.038461538461538464,0.06896551724137931,26.0
Flagship: Seed 2.0,flagship,exceptional,0.4375,0.4827586206896552,0.4590163934426229,29.0
Flagship: Seed 2.0,flagship,strong,0.273972602739726,0.6666666666666666,0.3883495145631068,30.0
Flagship: Seed 2.0,flagship,fair,0.125,0.03571428571428571,0.05555555555555556,28.0
Flagship: Seed 2.0,flagship,limited,0.0,0.0,0.0,26.0
Chat Baseline: GPT-5.2,chat,exceptional,0.0,0.0,0.0,30.0
Chat Baseline: GPT-5.2,chat,strong,0.3559322033898305,0.7,0.4719101123595506,30.0
Chat Baseline: GPT-5.2,chat,fair,0.29508196721311475,0.6,0.3956043956043956,30.0
Chat Baseline: GPT-5.2,chat,limited,0.0,0.0,0.0,30.0
SFT: GPT-4.1,sft,exceptional,0.5526315789473685,0.7,0.6176470588235295,30.0
SFT: GPT-4.1,sft,strong,0.4444444444444444,0.5333333333333333,0.4848484848484848,30.0
SFT: GPT-4.1,sft,fair,0.3333333333333333,0.36666666666666664,0.3492063492063492,30.0
SFT: GPT-4.1,sft,limited,0.6923076923076923,0.3,0.41860465116279066,30.0
SFT: GPT-4.1-nano,sft,exceptional,0.4888888888888889,0.7333333333333333,0.5866666666666667,30.0
SFT: GPT-4.1-nano,sft,strong,0.6086956521739131,0.4666666666666667,0.5283018867924527,30.0
SFT: GPT-4.1-nano,sft,fair,0.4444444444444444,0.26666666666666666,0.33333333333333337,30.0
SFT: GPT-4.1-nano,sft,limited,0.5588235294117647,0.6333333333333333,0.59375,30.0
SFT: Qwen3-30B,sft,exceptional,0.49019607843137253,0.8333333333333334,0.6172839506172839,30.0
SFT: Qwen3-30B,sft,strong,0.4642857142857143,0.43333333333333335,0.4482758620689655,30.0
SFT: Qwen3-30B,sft,fair,0.3333333333333333,0.3,0.3157894736842105,30.0
SFT: Qwen3-30B,sft,limited,0.7857142857142857,0.36666666666666664,0.5,30.0
SFT: Qwen3-4B,sft,exceptional,0.4791666666666667,0.7666666666666667,0.5897435897435898,30.0
SFT: Qwen3-4B,sft,strong,0.6111111111111112,0.36666666666666664,0.45833333333333326,30.0
SFT: Qwen3-4B,sft,fair,0.41935483870967744,0.43333333333333335,0.4262295081967213,30.0
SFT: Qwen3-4B,sft,limited,0.6521739130434783,0.5,0.5660377358490566,30.0
SFT: 2-Model Ensemble,sft,exceptional,0.5,0.7666666666666667,0.605263157894737,30.0
SFT: 2-Model Ensemble,sft,strong,0.6666666666666666,0.5333333333333333,0.5925925925925926,30.0
SFT: 2-Model Ensemble,sft,fair,0.47619047619047616,0.3333333333333333,0.39215686274509803,30.0
SFT: 2-Model Ensemble,sft,limited,0.6206896551724138,0.6,0.6101694915254238,30.0
Expert Majority (Unfiltered),human,exceptional,0.625,0.22727272727272727,0.3333333333333333,22.0
Expert Majority (Unfiltered),human,strong,0.37142857142857144,0.5909090909090909,0.456140350877193,22.0
Expert Majority (Unfiltered),human,fair,0.3611111111111111,0.52,0.42622950819672134,25.0
Expert Majority (Unfiltered),human,limited,0.6,0.3,0.4,20.0
Student Majority (Filtered),human,exceptional,0.6666666666666666,0.3333333333333333,0.4444444444444444,24.0
Student Majority (Filtered),human,strong,0.3125,0.38461538461538464,0.3448275862068966,26.0
Student Majority (Filtered),human,fair,0.3469387755102041,0.6538461538461539,0.45333333333333325,26.0
