model,source,accuracy,confidence_type,mean_confidence,conf_discriminates
DeepSeek Chat,val (logp),0.275,softmax max_prob,0.9684843578434361,False
GPT-5.2 (baseline),val (logp),0.2916666666666667,softmax max_prob,0.9626131735207036,False
GPT-5.2 Chat,val (logp),0.325,softmax max_prob,0.9821771821374237,False
Human Voting (old students),val (logp),0.4083333333333333,softmax max_prob,0.4555501288834622,False
Kimi K2 Chat,val (logp),0.35833333333333334,softmax max_prob,0.723961782750462,False
SFT 2-Model Ensemble,val (logp),0.5583333333333333,softmax max_prob,0.6575108130522838,True
SFT-1 (GPT-4.1),val (logp),0.475,softmax max_prob,0.6945451698202466,True
SFT-2 (GPT-4.1-nano),val (logp),0.525,softmax max_prob,0.7292435566423284,True
SFT-3 (Qwen3-30B),val (logp),0.48333333333333334,softmax max_prob,0.8852232650932711,True
SFT-4 (Qwen3-4B),val (logp),0.5166666666666667,softmax max_prob,0.6307475235419443,False
GLM-5,thinking (no logp),0.32637117346938777,N/A,,
Kimi K2.5,thinking (no logp),0.31422018348623854,N/A,,
Gemini 2.5 Pro,thinking (no logp),0.29799107142857145,N/A,,
Gemini 3.1 Pro,thinking (no logp),0.3870600414078675,N/A,,
Claude Opus 4.6,thinking (no logp),0.28020833333333334,N/A,,
GPT-5.2 High,thinking (no logp),0.30982905982905984,N/A,,
Grok 4.1 Fast,thinking (no logp),0.3396017699115044,N/A,,
MiniMax M2.5,thinking (no logp),0.27876106194690264,N/A,,
DeepSeek V3.2,thinking (no logp),0.27232142857142855,N/A,,
Qwen 3.5 Plus,thinking (no logp),0.31826801517067005,N/A,,
Seed 2.0,thinking (no logp),0.290929203539823,N/A,,
Human Expert,survey,0.3619791666666667,self-reported (1-5),3.5026041666666665,False
Human Student,survey,0.31778656126482213,self-reported (1-5),3.459683794466403,True
