figure,source_script,primary_data_files,ci_coverage,notes
Figure1,frozen_canonical_asset,"data/tables/T02_FlagshipPerformance.csv; data/tables/T04_AIvsHumanSummary.csv",No plotted CI (framework/integration figure),Frozen canonical main asset retained as submission figure
Figure2,scripts/reproducibility/generate_main_figure2.py,"data/tables/T02_FlagshipPerformance.csv; data/statistics/S01_FlagshipStats.json; data/predictions/frontier_10models_8runs.jsonl","Accuracy CI from binomial approximation (n=120); Macro-F1 CI from bootstrap on tie-excluded majority-vote pairs",Frontier collapse leaderboard and confusion diagnostics
Figure3,scripts/reproducibility/generate_main_figures.py,"data/tables/T10_IndividualExpertAccuracy_Anonymized.csv; data/tables/T21_StudentDescriptive.csv; data/tables/T04_AIvsHumanSummary.csv; data/tables/T19_StudentReliabilityByPanelSize.csv; data/statistics/S12_GatekeeperStats.json; data/human_ratings/reproducibility/expert_reproducibility.jsonl; data/human_ratings/reproducibility/student_reproducibility_filtered.jsonl","Accuracy and Macro-F1 CIs from T04; bootstrap CIs for predictor correlations from de-identified reproducibility human ratings; panel-size CI ribbon from T19",Human signal and noise decomposition
Figure4,scripts/reproducibility/generate_main_figures.py,"data/tables/extended_data/ExtendedDataTable1_BaseModelControls.csv; data/tables/T03_SFTPerformance.csv; data/tables/T04_AIvsHumanSummary.csv; data/statistics/S12_GatekeeperStats.json; data/predictions/chat_predictions.jsonl; data/predictions/sft_predictions.jsonl","Panel-a accuracy and macro-F1 CIs are recomputed from raw chat/SFT predictions after cross-checking against Extended Data Table 1 and T03; evaluator CIs come from T04",SFT gains and per-class boundary recovery
Figure5,scripts/reproducibility/generate_main_figures.py,"data/tables/T12_ConfidenceComparison.csv; data/predictions/sft_predictions.jsonl; data/predictions/chat_predictions.jsonl; data/human_ratings/reproducibility/expert_reproducibility.jsonl; data/human_ratings/reproducibility/student_reproducibility_filtered.jsonl; data/pairwise/sft_gpt4_1/*; data/pairwise/frontier_gemini3_1_pro/*; data/pairwise/frontier_gpt5_2_high/*; data/pairwise/baseline_gpt4_1/*; data/statistics/S14_ED2PairwiseRawPValues.json","Confidence separation and selective-prediction curves are read from canonical confidence/prediction files; pairwise panels reuse the fixed 300-pair comparator summaries plus raw exact McNemar outputs",SFT mechanism: metacognitive self-knowledge, abstention utility, and generalized pairwise ranking
Figure6,scripts/reproducibility/generate_main_figure6.py,"data/tables/T01_FrontierProtocolAudit.csv; data/predictions/sft_predictions.jsonl; data/predictions/frontier_10models_8runs.jsonl; data/human_ratings/reproducibility/expert_reproducibility.jsonl; data/human_ratings/reproducibility/student_reproducibility_filtered.jsonl",Panel-level accuracy intervals use Wilson 95% CIs,Consensus aggregation asymmetry
ExtendedDataFigure1,scripts/reproducibility/generate_extended_and_supplementary_figures.py,"data/predictions/prompt_variants/simple_prompt_predictions.jsonl; data/predictions/prompt_variants/journal_prompt_predictions.jsonl; data/predictions/prompt_variants/expert_prompt_predictions.jsonl; data/tables/T04_AIvsHumanSummary.csv",Prompt-variant accuracy error bars use binomial 95% CIs,Prompt sensitivity landscape
ExtendedDataFigure2,scripts/reproducibility/generate_extended_and_supplementary_figures.py,"data/pairwise/sft_gpt4_1/*; data/pairwise/frontier_gemini3_1_pro/*; data/pairwise/frontier_gpt5_2_high/*; data/pairwise/baseline_gpt4_1/*; data/statistics/S14_ED2PairwiseRawPValues.json","Descriptive six-pair-type accuracies (50 pairs per row) plus raw paired discordance decomposition; no standalone CI bars",Pairwise-detail decomposition for the plotted SFT/Gemini 3.1 Pro/GPT-5.2 High/GPT-4.1 baseline comparator set after moving the headline overall-accuracy and hard-boundary panels to Fig. 5
ExtendedDataFigure3,scripts/reproducibility/generate_extended_and_supplementary_figures.py,"data/statistics/S01_FlagshipStats.json; data/statistics/S02_SFTStats.json; data/tables/T03_SFTPerformance.csv; data/tables/T04_AIvsHumanSummary.csv; data/predictions/chat_predictions.jsonl; data/predictions/sft_predictions.jsonl",Descriptive confusion and ensemble-ranking diagnostics (no standalone CI bars),Full confusion atlas and SFT ensemble landscape
ExtendedDataFigure4,scripts/reproducibility/generate_extended_and_supplementary_figures.py,"data/tables/T13_CalibrationMetrics.csv; data/tables/T14_ErrorAnalysis.csv; data/tables/T19_StudentReliabilityByPanelSize.csv; data/tables/T20_ExpertReliabilityByPanelSize.csv",Panel-size accuracy ribbons use CI lower/upper columns from T19/T20,Calibration and reliability internals
