field,journal,source_tier,rank_label
Communication,Communication Research,A+,exceptional
Communication,Communication Theory,A+,exceptional
Communication,Human Communication Research,A+,exceptional
Communication,Journal of Communication,A+,exceptional
Communication,New Media & Society,A+,exceptional
Communication,Communication Methods and Measures,A,strong
Communication,Communication Monographs,A,strong
Communication,Digital Journalism,A,strong
Communication,Information Communication & Society,A,strong
Communication,International Journal of Press-Politics,A,strong
Communication,Journal of Computer-Mediated Communication,A,strong
Communication,Journalism,A,strong
Communication,Journalism & Mass Communication Quarterly,A,strong
Communication,Mass Communication and Society,A,strong
Communication,Media Culture & Society,A,strong
Communication,Communication Culture & Critique,B,fair
Communication,Communication and Critical-Cultural Studies,B,fair
Communication,Convergence,B,fair
Communication,European Journal of Communication,B,fair
Communication,Journal of Advertising Research,B,fair
Communication,Journal of Language and Social Psychology,B,fair
Communication,Journal of Public Relations Research,B,fair
Communication,Media and Communication,B,fair
Communication,Research on Language and Social Interaction,B,fair
Communication,Television & New Media,B,fair
Communication,Asian Journal of Communication,C,limited
Communication,Business and Professional Communication Quarterly,C,limited
Communication,International Journal of Sport Communication,C,limited
Communication,Javnost-The Public,C,limited
Communication,Journal of Business and Technical Communication,C,limited
Communication,Journal of Family Communication,C,limited
Communication,Revista Latina de Comunicacion Social,C,limited
Communication,Technical Communication Quarterly,C,limited
